Folder	Threshold	Number of Detections	Detection Times (UTC)
2023-08-30_15.58.06	0.5	1	2023-08-30_15.57.17
2023-08-30_15.58.06	0.1	1	2023-08-30_15.57.17
2023-08-30_15.58.06	0.05	5	2023-08-27_05.35.47
2023-08-30_15.58.06	0.05	5	2023-08-27_05.58.13
2023-08-30_15.58.06	0.05	5	2023-08-27_11.34.55
2023-08-30_15.58.06	0.05	5	2023-08-28_08.14.18
2023-08-30_15.58.06	0.05	5	2023-08-30_15.57.17
2023-08-30_15.58.06	0.04	11	2023-08-27_05.35.47
2023-08-30_15.58.06	0.04	11	2023-08-27_05.58.13
2023-08-30_15.58.06	0.04	11	2023-08-27_10.10.43
2023-08-30_15.58.06	0.04	11	2023-08-27_10.33.32
2023-08-30_15.58.06	0.04	11	2023-08-27_10.57.20
2023-08-30_15.58.06	0.04	11	2023-08-27_11.34.55
2023-08-30_15.58.06	0.04	11	2023-08-27_11.37.20
2023-08-30_15.58.06	0.04	11	2023-08-28_08.14.18
2023-08-30_15.58.06	0.04	11	2023-08-30_05.59.07
2023-08-30_15.58.06	0.04	11	2023-08-30_06.12.43
2023-08-30_15.58.06	0.04	11	2023-08-30_15.57.17
2023-08-30_15.58.06	0.035	11	2023-08-27_05.35.47
2023-08-30_15.58.06	0.035	11	2023-08-27_05.58.13
2023-08-30_15.58.06	0.035	11	2023-08-27_10.10.43
2023-08-30_15.58.06	0.035	11	2023-08-27_10.33.32
2023-08-30_15.58.06	0.035	11	2023-08-27_10.57.20
2023-08-30_15.58.06	0.035	11	2023-08-27_11.34.55
2023-08-30_15.58.06	0.035	11	2023-08-27_11.37.20
2023-08-30_15.58.06	0.035	11	2023-08-28_08.14.18
2023-08-30_15.58.06	0.035	11	2023-08-30_05.59.07
2023-08-30_15.58.06	0.035	11	2023-08-30_06.12.43
2023-08-30_15.58.06	0.035	11	2023-08-30_15.57.17
2023-08-30_15.58.06	0.03	19	2023-08-27_05.35.47
2023-08-30_15.58.06	0.03	19	2023-08-27_05.58.13
2023-08-30_15.58.06	0.03	19	2023-08-27_09.57.49
2023-08-30_15.58.06	0.03	19	2023-08-27_10.10.03
2023-08-30_15.58.06	0.03	19	2023-08-27_10.10.43
2023-08-30_15.58.06	0.03	19	2023-08-27_10.33.32
2023-08-30_15.58.06	0.03	19	2023-08-27_10.57.20
2023-08-30_15.58.06	0.03	19	2023-08-27_11.16.12
2023-08-30_15.58.06	0.03	19	2023-08-27_11.34.55
2023-08-30_15.58.06	0.03	19	2023-08-27_11.37.20
2023-08-30_15.58.06	0.03	19	2023-08-27_12.36.40
2023-08-30_15.58.06	0.03	19	2023-08-28_08.14.18
2023-08-30_15.58.06	0.03	19	2023-08-28_12.58.04
2023-08-30_15.58.06	0.03	19	2023-08-28_21.51.27
2023-08-30_15.58.06	0.03	19	2023-08-29_05.25.16
2023-08-30_15.58.06	0.03	19	2023-08-29_07.44.24
2023-08-30_15.58.06	0.03	19	2023-08-30_05.59.07
2023-08-30_15.58.06	0.03	19	2023-08-30_06.12.43
2023-08-30_15.58.06	0.03	19	2023-08-30_15.57.17
2023-08-30_06.13.26	0.5	1	2023-08-30_06.12.42
