X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-122.03165,46.7589,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
-122.03149,46.75887,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
-122.03119,46.7588,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
-122.03075,46.75869,0,0,3,,,,,,,,,,,,,,,,,,,,,,,
-122.03012,46.75853,0,0,4,,,,,,,,,,,,,,,,,,,,,,,
-122.02934,46.75833,0,0,5,,,,,,,,,,,,,,,,,,,,,,,
-122.0289,46.75823,0,0,6,,,,,,,,,,,,,,,,,,,,,,,
-122.02809,46.75803,0,0,7,,,,,,,,,,,,,,,,,,,,,,,
-122.02762,46.75791,0,0,8,,,,,,,,,,,,,,,,,,,,,,,
-122.02756,46.7579,0,0,9,,,,,,,,,,,,,,,,,,,,,,,
-122.02683,46.75772,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
-122.02468,46.75719,0,0,11,,,,,,,,,,,,,,,,,,,,,,,
-122.02461,46.75717,0,0,12,,,,,,,,,,,,,,,,,,,,,,,
-122.02425,46.7571,0,0,13,,,,,,,,,,,,,,,,,,,,,,,
-122.02375,46.75703,0,0,14,,,,,,,,,,,,,,,,,,,,,,,
-122.02361,46.75702,0,0,15,,,,,,,,,,,,,,,,,,,,,,,
-122.02338,46.75699,0,0,16,,,,,,,,,,,,,,,,,,,,,,,
-122.02311,46.75697,0,0,17,,,,,,,,,,,,,,,,,,,,,,,
-122.02284,46.75696,0,0,18,,,,,,,,,,,,,,,,,,,,,,,
-122.02247,46.75694,0,0,19,,,,,,,,,,,,,,,,,,,,,,,
-122.02188,46.75694,0,0,20,,,,,,,,,,,,,,,,,,,,,,,
-122.01978,46.75695,0,0,21,,,,,,,,,,,,,,,,,,,,,,,
-122.01705,46.75696,0,0,22,,,,,,,,,,,,,,,,,,,,,,,
-122.01442,46.75696,0,0,23,,,,,,,,,,,,,,,,,,,,,,,
-122.01307,46.75695,0,0,24,,,,,,,,,,,,,,,,,,,,,,,
-122.01247,46.75695,0,0,25,,,,,,,,,,,,,,,,,,,,,,,
-122.01154,46.75696,0,0,26,,,,,,,,,,,,,,,,,,,,,,,
-122.00303,46.75698,0,0,27,,,,,,,,,,,,,,,,,,,,,,,
-122.00247,46.75698,0,0,28,,,,,,,,,,,,,,,,,,,,,,,
-122.0021,46.75699,0,0,29,,,,,,,,,,,,,,,,,,,,,,,
-121.99875,46.75704,0,0,30,,,,,,,,,,,,,,,,,,,,,,,
-121.99766,46.75706,0,0,31,,,,,,,,,,,,,,,,,,,,,,,
-121.98732,46.75727,0,0,32,,,,,,,,,,,,,,,,,,,,,,,
-121.98674,46.75728,0,0,33,,,,,,,,,,,,,,,,,,,,,,,
-121.9866,46.75728,0,0,34,,,,,,,,,,,,,,,,,,,,,,,
-121.98544,46.7573,0,0,35,,,,,,,,,,,,,,,,,,,,,,,
-121.98535,46.7573,0,0,36,,,,,,,,,,,,,,,,,,,,,,,
-121.98511,46.7573,0,0,37,,,,,,,,,,,,,,,,,,,,,,,
-121.98451,46.75731,0,0,38,,,,,,,,,,,,,,,,,,,,,,,
-121.98374,46.75731,0,0,39,,,,,,,,,,,,,,,,,,,,,,,
-121.9825,46.7573,0,0,40,,,,,,,,,,,,,,,,,,,,,,,
-121.98138,46.7573,0,0,41,,,,,,,,,,,,,,,,,,,,,,,
-121.97949,46.75728,0,0,42,,,,,,,,,,,,,,,,,,,,,,,
-121.97803,46.75728,0,0,43,,,,,,,,,,,,,,,,,,,,,,,
-121.97761,46.75728,0,0,44,,,,,,,,,,,,,,,,,,,,,,,
