Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
61946722,0.7,l,1693411086.05,2023/08/30 15:58:06,2023/08/30 08:58:06 PDT,"17.4 km from Mt Rainier, WA",46.779,-121.9608,8.9,5.5
61946637,0.0,l,1693391534.98,2023/08/30 10:32:14,2023/08/30 03:32:14 PDT,"12.8 km from Mt Rainier, WA",46.8613,-121.9273,10.6,6.6
61946592,0.5,l,1693376006.14,2023/08/30 06:13:26,2023/08/29 23:13:26 PDT,"17.3 km from Mt Rainier, WA",46.78,-121.9600,9.3,5.8
61946587,0.6,l,1693375189.67,2023/08/30 05:59:49,2023/08/29 22:59:49 PDT,"17.3 km from Mt Rainier, WA",46.78,-121.9602,9.4,5.8
61946512,0.2,l,1693356670.05,2023/08/30 00:51:10,2023/08/29 17:51:10 PDT,"16.5 km from Mt Rainier, WA",46.7862,-121.9528,8.9,5.5
61946187,-0.4,d,1693341065.63,2023/08/29 20:31:05,2023/08/29 13:31:05 PDT,"3.6 km from Mt Rainier, WA",46.8767,-121.7273,5.5,3.4
61945652,0.4,l,1693304504.84,2023/08/29 10:21:44,2023/08/29 03:21:44 PDT,"17.8 km from Mt Rainier, WA",46.7718,-121.9607,10.0,6.2
61945622,0.9,l,1693295099.43,2023/08/29 07:44:59,2023/08/29 00:44:59 PDT,"17.4 km from Mt Rainier, WA",46.7765,-121.9583,9.5,5.9
61945612,0.8,l,1693288472.04,2023/08/29 05:54:32,2023/08/28 22:54:32 PDT,"18.1 km from Mt Rainier, WA",46.7173,-121.8905,4.5,2.8
61945607,0.3,l,1693288188.53,2023/08/29 05:49:48,2023/08/28 22:49:48 PDT,"17.7 km from Mt Rainier, WA",46.775,-121.9620,9.0,5.6
61945602,0.6,l,1693286749.6,2023/08/29 05:25:49,2023/08/28 22:25:49 PDT,"16.2 km from Mt Rainier, WA",46.7848,-121.9478,9.2,5.7
61945592,0.2,l,1693285629.16,2023/08/29 05:07:09,2023/08/28 22:07:09 PDT,"0.5 km from Mt Rainier, WA",46.8498,-121.7560,3.1,1.9
61945557,0.3,l,1693278477.93,2023/08/29 03:07:57,2023/08/28 20:07:57 PDT,"17.4 km from Mt Rainier, WA",46.7777,-121.9597,9.9,6.2
61945447,0.4,l,1693260663.59,2023/08/28 22:11:03,2023/08/28 15:11:03 PDT,"15.8 km from Mt Rainier, WA",46.7837,-121.9410,8.6,5.4
61954276,1.2,l,1693259519.67,2023/08/28 21:51:59,2023/08/28 14:51:59 PDT,"16.7 km from Mt Rainier, WA",46.7817,-121.9517,9.2,5.7
61954221,0.7,l,1693248479.2,2023/08/28 18:47:59,2023/08/28 11:47:59 PDT,"17.6 km from Mt Rainier, WA",46.7757,-121.9612,9.4,5.8
