Threshold,Result Date,ID Value,Match Status
0.02,2023-08-27_06.30.04,61953671,Matched
0.02,2023-08-29_05.54.35,61945612,Matched
0.02,2023-08-28_08.14.46,61954106,Matched
0.02,2023-08-27_12.50.24,61953791,Matched
0.02,2023-08-27_10.57.41,61953731,Matched
0.02,2023-08-28_04.28.26,61954071,Matched
0.02,2023-08-27_14.02.21,61953821,Matched
0.02,2023-08-27_06.54.59,61953676,Matched
0.02,2023-08-27_10.10.23,61953701,Matched
0.02,2023-08-29_07.44.59,61945622,Matched
0.02,2023-08-27_11.46.19,61953766,Matched
0.02,2023-08-27_10.36.49,61953721,Matched
0.02,2023-08-27_09.58.10,61953696,Matched
0.02,2023-08-29_05.49.53,61945607,Matched
0.02,2023-08-30_00.51.13,61946512,Matched
0.02,2023-08-29_05.25.51,61945602,Matched
0.02,2023-08-27_06.54.54,61953676,Matched
0.02,2023-08-27_05.36.11,61953651,Matched
0.02,2023-08-27_12.41.26,61953781,Matched
0.02,2023-08-28_18.48.05,61954221,Matched
0.02,2023-08-27_10.10.29,61953701,Matched
0.02,2023-08-27_11.37.40,61953751,Matched
0.02,2023-08-28_01.25.09,61954021,Matched
0.02,2023-08-27_20.07.48,61953926,Matched
0.02,2023-08-28_10.25.20,61954116,Matched
0.02,2023-08-27_05.58.31,61953661,Matched
0.02,2023-08-28_02.44.57,61954041,Matched
0.02,2023-08-27_11.55.20,61953771,Matched
0.02,2023-08-28_10.25.26,61954116,Matched
0.02,2023-08-27_05.36.06,61953651,Matched
0.02,2023-08-28_21.52.00,61954276,Matched
0.02,2023-08-28_21.52.05,61954276,Matched
0.02,2023-08-28_01.58.57,61954031,Matched
0.02,2023-08-28_22.11.02,61945447,Matched
0.02,2023-08-27_13.26.08,61953806,Matched
0.02,2023-08-27_12.41.21,61953781,Matched
0.02,2023-08-29_03.08.01,61945557,Matched
0.02,2023-08-30_06.13.27,61946592,Matched
0.02,2023-08-28_18.48.00,61954221,Matched
0.02,2023-08-27_10.26.20,61953711,Matched
0.02,2023-08-27_11.38.05,61953756,Matched
0.02,2023-08-30_05.59.52,61946587,Matched
0.02,2023-08-29_05.54.29,61945612,Matched
0.02,2023-08-27_11.16.34,61953736,Matched
0.02,2023-08-27_11.35.15,61953746,Matched
0.02,2023-08-28_04.28.21,61954071,Matched
0.02,2023-08-27_11.38.00,61953756,Matched
0.02,2023-08-29_10.21.50,61945652,Matched
0.02,2023-08-27_10.33.53,61953716,Matched
0.02,2023-08-27_12.37.00,61953776,Matched
0.02,2023-08-28_22.11.08,61945447,Matched
0.02,2023-08-28_12.58.33,61954136,Matched
0.02,2023-08-31_08.54.30,X,Unmatched
0.02,2023-08-29_03.58.01,X,Unmatched
0.02,2023-08-29_08.50.19,X,Unmatched
0.02,2023-08-29_10.54.41,X,Unmatched
0.02,2023-08-25_04.30.46,X,Unmatched
0.02,2023-08-29_03.04.46,X,Unmatched
0.02,2023-08-25_03.01.04,X,Unmatched
0.02,2023-08-30_09.14.43,X,Unmatched
0.02,2023-08-26_06.43.42,X,Unmatched
0.02,2023-08-28_09.34.28,X,Unmatched
0.02,2023-08-25_06.28.58,X,Unmatched
0.02,2023-08-29_05.06.22,X,Unmatched
0.02,2023-08-31_09.53.49,X,Unmatched
0.02,2023-08-29_14.02.24,X,Unmatched
0.02,2023-08-28_18.23.16,X,Unmatched
0.02,2023-08-29_05.51.01,X,Unmatched
0.02,2023-08-25_07.53.46,X,Unmatched
0.02,2023-08-29_09.02.33,X,Unmatched
0.02,2023-08-29_12.51.22,X,Unmatched
0.02,2023-08-27_15.25.21,X,Unmatched
0.02,2023-08-30_15.58.05,X,Unmatched
0.02,2023-08-25_07.08.17,X,Unmatched
0.02,2023-08-26_05.44.25,X,Unmatched
0.02,2023-08-27_06.17.38,X,Unmatched
0.02,2023-08-25_07.30.32,X,Unmatched
