Threshold	Number of Detections	Detection Times (UTC)
0.09120650714408404	20	2023-08-27_05.35.49
0.09120650714408404	20	2023-08-27_05.58.10
0.09120650714408404	20	2023-08-27_06.29.46
0.09120650714408404	20	2023-08-27_09.57.50
0.09120650714408404	20	2023-08-27_10.10.05
0.09120650714408404	20	2023-08-27_10.10.45
0.09120650714408404	20	2023-08-27_10.33.31
0.09120650714408404	20	2023-08-27_10.57.19
0.09120650714408404	20	2023-08-27_11.16.13
0.09120650714408404	20	2023-08-27_11.34.54
0.09120650714408404	20	2023-08-27_12.41.03
0.09120650714408404	20	2023-08-27_13.25.44
0.09120650714408404	20	2023-08-27_14.02.01
0.09120650714408404	20	2023-08-28_01.24.45
0.09120650714408404	20	2023-08-28_04.27.55
0.09120650714408404	20	2023-08-28_04.27.57
0.09120650714408404	20	2023-08-28_08.14.18
0.09120650714408404	20	2023-08-28_18.47.30
0.09120650714408404	20	2023-08-28_21.51.28
0.09120650714408404	20	2023-08-29_07.44.25
0.22801626786021012	1	2023-08-28_04.27.57
0.45603253572042024	1	2023-08-28_04.27.57
