Threshold	Number of Detections	Detection Times (UTC)
0.5	1	2023-08-28_22.11.06
0.05	18	2023-08-27_05.36.08
0.05	18	2023-08-27_05.58.30
0.05	18	2023-08-27_06.30.05
0.05	18	2023-08-27_10.10.25
0.05	18	2023-08-27_10.11.05
0.05	18	2023-08-27_10.33.52
0.05	18	2023-08-27_10.57.40
0.05	18	2023-08-27_11.16.34
0.05	18	2023-08-27_11.35.16
0.05	18	2023-08-27_12.37.01
0.05	18	2023-08-27_12.41.24
0.05	18	2023-08-27_13.26.06
0.05	18	2023-08-28_01.25.11
0.05	18	2023-08-28_08.14.46
0.05	18	2023-08-28_21.52.01
0.05	18	2023-08-28_22.11.06
0.05	18	2023-08-29_05.25.52
0.05	18	2023-08-29_07.45.02
0.04	26	2023-08-27_05.36.08
0.04	26	2023-08-27_05.58.29
0.04	26	2023-08-27_06.30.05
0.04	26	2023-08-27_09.58.11
0.04	26	2023-08-27_10.10.25
0.04	26	2023-08-27_10.10.27
0.04	26	2023-08-27_10.11.05
0.04	26	2023-08-27_10.33.52
0.04	26	2023-08-27_10.57.40
0.04	26	2023-08-27_11.16.34
0.04	26	2023-08-27_11.35.16
0.04	26	2023-08-27_11.37.40
0.04	26	2023-08-27_12.15.26
0.04	26	2023-08-27_12.37.01
0.04	26	2023-08-27_12.41.24
0.04	26	2023-08-27_13.26.06
0.04	26	2023-08-27_14.02.23
0.04	26	2023-08-28_01.25.11
0.04	26	2023-08-28_08.14.46
0.04	26	2023-08-28_18.48.02
0.04	26	2023-08-28_21.52.01
0.04	26	2023-08-28_22.11.06
0.04	26	2023-08-28_22.21.14
0.04	26	2023-08-29_05.25.52
0.04	26	2023-08-29_07.45.02
0.04	26	2023-08-31_15.14.19
0.045	23	2023-08-27_05.36.08
0.045	23	2023-08-27_05.58.29
0.045	23	2023-08-27_06.30.05
0.045	23	2023-08-27_09.58.11
0.045	23	2023-08-27_10.10.25
0.045	23	2023-08-27_10.10.27
0.045	23	2023-08-27_10.11.05
0.045	23	2023-08-27_10.33.52
0.045	23	2023-08-27_10.57.40
0.045	23	2023-08-27_11.16.34
0.045	23	2023-08-27_11.35.16
0.045	23	2023-08-27_12.15.26
0.045	23	2023-08-27_12.37.01
0.045	23	2023-08-27_12.41.24
0.045	23	2023-08-27_13.26.06
0.045	23	2023-08-27_14.02.23
0.045	23	2023-08-28_01.25.11
0.045	23	2023-08-28_08.14.46
0.045	23	2023-08-28_21.52.01
0.045	23	2023-08-28_22.11.06
0.045	23	2023-08-29_05.25.52
0.045	23	2023-08-29_07.45.02
0.045	23	2023-08-31_15.14.19
