Threshold	Result Date	ID Value	Match Status
0.045	2023-08-28_21.52.03	61954276	Matched
0.045	2023-08-27_11.16.36	61953736	Matched
0.045	2023-08-30_15.58.07	61946722	Matched
0.045	2023-08-30_05.59.51	61946587	Matched
0.045	2023-08-28_04.28.22	61954071	Matched
0.045	2023-08-27_10.10.24	61953701	Matched
0.045	2023-08-28_12.58.33	61954136	Matched
0.045	2023-08-30_00.51.13	61946512	Matched
0.045	2023-08-27_06.54.55	61953676	Matched
0.045	2023-08-28_08.14.46	61954106	Matched
0.045	2023-08-27_05.36.09	61953651	Matched
0.045	2023-08-30_06.13.29	61946592	Matched
0.045	2023-08-27_10.57.40	61953731	Matched
0.045	2023-08-27_14.02.23	61953821	Matched
0.045	2023-08-27_10.36.50	61953721	Matched
0.045	2023-08-27_11.37.39	61953751	Matched
0.045	2023-08-27_12.37.01	61953776	Matched
0.045	2023-08-28_22.11.05	61945447	Matched
0.045	2023-08-27_11.35.16	61953746	Matched
0.045	2023-08-27_11.46.20	61953766	Matched
0.045	2023-08-28_02.44.59	61954041	Matched
0.045	2023-08-28_01.58.59	61954031	Matched
0.045	2023-08-27_11.55.19	61953771	Matched
0.045	2023-08-27_10.33.50	61953716	Matched
0.045	2023-08-28_18.48.03	61954221	Matched
0.045	2023-08-31_15.14.18	61947002	Matched
0.045	2023-08-27_13.26.07	61953806	Matched
0.045	2023-08-31_18.25.30	61947072	Matched
0.045	2023-08-27_11.38.01	61953756	Matched
0.045	2023-08-27_12.50.26	61953791	Matched
0.045	2023-08-27_05.58.29	61953661	Matched
0.045	2023-08-28_10.25.24	61954116	Matched
0.045	2023-08-29_07.45.02	61945622	Matched
0.045	2023-08-27_09.58.10	61953696	Matched
0.045	2023-08-29_05.49.51	61945607	Matched
0.045	2023-08-29_10.21.48	61945652	Matched
0.045	2023-08-28_01.25.11	61954021	Matched
0.045	2023-08-29_03.08.00	61945557	Matched
0.045	2023-08-29_05.25.52	61945602	Matched
0.045	2023-08-27_10.26.18	61953711	Matched
0.045	2023-08-27_06.30.05	61953671	Matched
0.045	2023-08-31_18.25.21	61947072	Matched
0.045	2023-08-27_20.07.50	61953926	Matched
0.045	2023-08-27_12.41.23	61953781	Matched
0.045	2023-08-27_14.58.07	X	Unmatched
0.045	2023-08-27_14.42.14	X	Unmatched
0.045	2023-08-27_10.11.03	X	Unmatched
0.045	2023-08-28_14.56.09	X	Unmatched
0.045	2023-08-29_10.54.39	X	Unmatched
0.045	2023-08-27_14.00.20	X	Unmatched
0.045	2023-08-27_04.26.59	X	Unmatched
0.045	2023-08-30_14.26.14	X	Unmatched
0.045	2023-08-27_15.25.23	X	Unmatched
0.045	2023-08-27_10.54.21	X	Unmatched
0.045	2023-08-29_05.06.21	X	Unmatched
0.045	2023-08-27_10.10.39	X	Unmatched
0.045	2023-08-27_14.01.42	X	Unmatched
0.045	2023-08-28_21.18.45	X	Unmatched
0.045	2023-08-28_17.56.26	X	Unmatched
0.045	2023-08-27_10.10.44	X	Unmatched
0.045	2023-08-27_15.13.34	X	Unmatched
0.045	2023-08-28_06.32.58	X	Unmatched
0.045	2023-08-28_06.21.48	X	Unmatched
0.045	2023-08-29_07.40.00	X	Unmatched
0.045	2023-08-27_06.17.36	X	Unmatched
0.045	2023-08-27_11.35.24	X	Unmatched
0.045	2023-08-29_05.51.01	X	Unmatched
0.045	2023-08-27_12.15.25	X	Unmatched
